Name,Trainer,Location,Date
John W. Galbreath Bicentennial Park,1David61,,9/22/2023
Main Street Bridge Plague,1David61,,9/9/2023
Mid-Ohio Foodbank,1David61,,6/18/2023
Holy Rosary and St. John Community Church,1David61,,5/18/2023
Teenage Mutant Ninja Turtles,1David61,,1/21/2023
Jumping Jacks,Abc12578,,11/5/2023
West Jeff Masonic Temple,Abc12578,,10/16/2023
Scippo Lodge No. 255,Abro1013,,11/5/2023
City of Groveport,Abro1013,,10/8/2023
Peck's Hall 1855,Abro1013,,9/12/2023
Friends of Great Smoky Mountains National Park,Abro1013,,9/9/2023
Pickaway County Historical and Genealogical Library,Abro1013,,8/3/2023
Donkey Sculpture,AmaznHalfAzn,"Columbus, OH",11/12/2023
In Memory of Matt Slone,AmaznHalfAzn,"Westerville, OH",11/9/2023
Picnic Area,AmaznHalfAzn,,11/5/2023
Autobody Specialist Mural,AmaznHalfAzn,,10/19/2023
Paradise Island Smoothie Stand,AmaznHalfAzn,,10/8/2023
Web of Fun,AmaznHalfAzn,,
Mi Tradicion Statue,AmaznHalfAzn,,
SRA Grafiti Mosaic,AmaznHalfAzn,,
Vita Course #7,AmaznHalfAzn,,
Alpha Athletic Club,AmaznHalfAzn,,
Miami River Brewhouse,AmaznHalfAzn,,
Serenity Garden Statue,AmaznHalfAzn,"Westerville, OH",5/20/2023
The Red Phone Booth,AmaznHalfAzn,,
Ray Memorial,AmaznHalfAzn,,
Bodies of Color,Beffl,,
Alte Muhlensteine,Beffl,,
Der Einsame Stein,Beffl,,
Rennstrecke,Beffl,,
Northcrest Park,Bergfinn224800,"Columbus, OH",11/12/2023
Bethel International UMC Churc,Bergfinn224800,"Columbus, OH",11/12/2023
Ohio University Baker Center,Bergfinn224800,"Athens, OH",11/9/2023
"Brush Crazy Columbus, OH",Bergfinn224800,"Columbus, OH",11/6/2023
Peggy's Path,Bergfinn224800,,
Japanese Rock Garden,Bergfinn224800,,
Woodside Basketball Court,Boubin,"Gahanna, OH",11/11/2023
Prohibition Mural,Boubin,"Westerville, OH",11/9/2023
Woodside Baseball Field #2,Boubin,"Gahanna, OH",11/6/2023
Woodside Green Park Rain Garden,Boubin,,10/16/2023
Gahanna Lincoln High School Art Mural,Boubin,,10/8/2023
Charm Cottage,Boubin,,
